73 72 open
c -948.54 -636.04 72.04 -941.69 -635.79 71.92 -955.72 -635.99 72.21 19.71 8 freight_group
c -968.02 -639.02 72.46 -962.33 -637.21 72.33 -976.45 -640.93 72.60 24.03 0
c -989.42 -649.93 71.99 -982.71 -644.51 72.55 -995.70 -655.32 71.08 21.33 0
c -1001.92 -667.02 69.42 -999.47 -660.93 70.25 -1004.14 -672.60 68.66 15.84 0
c -1006.23 -682.13 67.45 -1005.13 -675.90 68.23 -1006.83 -685.49 67.03 13.55 0
c -1007.85 -695.49 65.89 -1007.52 -690.51 66.45 -1008.14 -699.40 65.46 8.92 0
c -1008.02 -704.35 64.90 -1008.08 -701.88 65.18 -1007.93 -707.43 64.56 9.98 0
c -1007.94 -714.25 63.67 -1007.96 -712.70 63.82 -1007.95 -715.58 63.50 11.83 8 spooni01
c -1007.87 -726.02 62.52 -1007.86 -722.59 62.87 -1007.92 -729.04 62.22 11.28 0
c -1007.84 -737.25 61.48 -1007.87 -732.50 61.89 -1007.86 -745.28 60.74 30.06 0
c -1007.91 -767.25 59.54 -1007.99 -757.32 59.95 -1007.93 -777.43 59.16 22.04 0
c -1007.95 -789.28 58.91 -1007.90 -783.58 59.00 -1007.87 -794.21 58.86 122.24 0
c -1007.84 -911.52 59.31 -1007.85 -908.40 59.30 -1007.81 -916.07 59.34 17.28 0
c -1007.85 -928.80 59.55 -1007.86 -923.13 59.45 -1007.87 -933.59 59.64 28.36 0
c -1007.92 -957.16 60.07 -1007.92 -950.31 59.95 -1007.94 -965.51 60.20 25.50 0
c -1007.92 -982.66 60.42 -1007.92 -975.26 60.34 -1007.90 -988.81 60.47 15.42 0
c -1007.91 -998.08 60.44 -1007.93 -996.82 60.45 -1007.90 -999.29 60.44 19.10 8 spooni03
c -1006.23 -1017.11 60.28 -1007.35 -1009.08 60.42 -1005.26 -1024.03 60.10 25.43 0
c -1000.29 -1041.82 59.37 -1004.26 -1029.48 59.92 -997.39 -1050.69 58.86 28.81 0
c -988.21 -1067.91 57.50 -993.35 -1059.39 58.24 -981.74 -1078.64 56.45 37.42 0
c -965.81 -1097.69 54.06 -972.80 -1090.22 55.08 -962.43 -1101.57 53.54 24.34 0
c -948.88 -1115.02 51.68 -950.08 -1113.82 51.87 -947.86 -1116.02 51.53 11.85 8 spooni04
c -940.35 -1123.12 50.27 -943.40 -1120.21 50.72 -934.94 -1128.10 49.49 25.94 0
c -921.79 -1141.04 47.54 -929.84 -1133.11 48.73 -914.65 -1148.01 46.53 30.09 0
c -902.32 -1163.81 44.69 -907.30 -1156.71 45.45 -896.98 -1171.52 43.96 24.69 0
c -890.97 -1185.67 43.03 -894.61 -1176.02 43.61 -888.96 -1191.17 42.79 20.15 0
c -887.09 -1205.44 42.49 -887.41 -1199.51 42.57 -886.87 -1209.61 42.36 19.78 0
c -887.00 -1225.22 42.48 -886.96 -1217.87 42.48 -887.09 -1236.14 42.48 31.07 0
